ID,ID salarié,Date de début,Type,Distance (m),Temps écoulé (s),Date de fin,Commentaire
85,17757,02/12/2025 18:14,Badminton,,2917,02/12/2025 19:02,Entraînement smash
86,17757,07/12/2025 11:01,Badminton,,3392,07/12/2025 11:57,Entraînement smash
87,17757,11/12/2025 08:53,Badminton,,3714,11/12/2025 09:55,Partie de double 🏸
88,17757,01/01/2026 17:37,Badminton,,4111,01/01/2026 18:45,
89,17757,08/01/2026 17:08,Badminton,,5350,08/01/2026 18:37,Entraînement smash
90,17757,14/01/2026 17:24,Badminton,,3140,14/01/2026 18:16,Partie de double 🏸
91,17757,23/01/2026 19:48,Badminton,,3352,23/01/2026 20:43,Entraînement smash
92,17757,28/01/2026 07:30,Badminton,,1879,28/01/2026 08:01,
93,17757,29/01/2026 17:14,Badminton,,4462,29/01/2026 18:28,Partie de double 🏸
94,17757,16/02/2026 08:15,Badminton,,2616,16/02/2026 08:58,Partie de double 🏸
95,17757,25/02/2026 08:08,Badminton,,3739,25/02/2026 09:10,
96,17757,25/03/2026 18:44,Badminton,,2849,25/03/2026 19:31,Entraînement smash
97,17757,09/04/2026 06:19,Badminton,,2242,09/04/2026 06:56,
98,17036,09/05/2025 20:04,Escalade,,13689,09/05/2025 23:52,
99,17036,26/05/2025 17:52,Escalade,,13431,26/05/2025 21:35,Nouvelle voie 6b ! 🧗
100,17036,09/06/2025 19:45,Escalade,,7906,09/06/2025 21:56,Bloc à la salle
101,17036,18/06/2025 19:29,Escalade,,12536,18/06/2025 22:58,
102,17036,28/07/2025 19:54,Escalade,,9422,28/07/2025 22:31,Nouvelle voie 6b ! 🧗
103,17036,20/08/2025 07:48,Escalade,,13013,20/08/2025 11:25,
104,17036,19/09/2025 20:01,Escalade,,13498,19/09/2025 23:46,Bloc à la salle
105,17036,24/09/2025 06:22,Escalade,,9632,24/09/2025 09:02,Bloc à la salle
106,17036,27/10/2025 07:33,Escalade,,8530,27/10/2025 09:55,Nouvelle voie 6b ! 🧗
107,17036,07/11/2025 20:35,Escalade,,9337,07/11/2025 23:10,
108,17036,01/02/2026 11:41,Escalade,,13441,01/02/2026 15:25,Bloc à la salle
109,17036,06/02/2026 17:14,Escalade,,12025,06/02/2026 20:34,
110,17036,15/02/2026 09:19,Escalade,,11446,15/02/2026 12:29,Bloc à la salle
111,17036,19/02/2026 19:47,Escalade,,10819,19/02/2026 22:47,Bloc à la salle
112,17036,05/03/2026 20:19,Escalade,,9518,05/03/2026 22:57,Nouvelle voie 6b ! 🧗
113,17036,30/03/2026 18:07,Escalade,,14179,30/03/2026 22:03,
114,17036,03/04/2026 06:47,Escalade,,13333,03/04/2026 10:29,Bloc à la salle
115,17036,06/04/2026 08:53,Escalade,,8580,06/04/2026 11:16,Bloc à la salle
116,17036,09/04/2026 06:19,Escalade,,5631,09/04/2026 07:52,
117,36913,11/05/2025 12:18,Runing,6137,1798,11/05/2025 12:48,Super sortie 💪
118,36913,15/05/2025 19:30,Runing,16433,5833,15/05/2025 21:07,Belle séance 🔥
119,36913,21/06/2025 14:30,Runing,5738,1442,21/06/2025 14:54,Super sortie 💪
120,36913,05/09/2025 08:09,Runing,20443,4557,05/09/2025 09:25,Nouveau record !
121,62296,18/05/2025 13:13,Runing,10671,2743,18/05/2025 13:58,Nouveau record !
122,62296,07/06/2025 12:04,Runing,7129,2818,07/06/2025 12:51,
123,62296,02/08/2025 10:02,Runing,9585,3066,02/08/2025 10:53,
124,62296,11/08/2025 18:50,Runing,21326,6395,11/08/2025 20:36,
125,62296,17/09/2025 06:58,Runing,10704,2505,17/09/2025 07:39,Nouveau record !
126,62296,21/09/2025 14:19,Runing,21498,5776,21/09/2025 15:55,Belle séance 🔥
127,62296,29/10/2025 17:44,Runing,11964,3529,29/10/2025 18:42,
128,62296,23/11/2025 11:05,Runing,21596,8296,23/11/2025 13:23,Belle séance 🔥
129,62296,30/11/2025 12:16,Runing,2847,1171,30/11/2025 12:35,Super sortie 💪
130,62296,04/12/2025 08:48,Runing,7740,2416,04/12/2025 09:28,Belle séance 🔥
131,62296,10/01/2026 09:37,Runing,16283,4541,10/01/2026 10:52,Super sortie 💪
132,62296,03/02/2026 19:21,Runing,12520,3686,03/02/2026 20:22,Belle séance 🔥
133,62296,13/02/2026 20:42,Runing,15122,3933,13/02/2026 21:47,
134,62296,17/02/2026 19:20,Runing,5798,1370,17/02/2026 19:42,Super sortie 💪
135,62296,22/02/2026 13:55,Runing,19779,5483,22/02/2026 15:26,Belle séance 🔥
136,62296,24/02/2026 20:48,Runing,3691,1309,24/02/2026 21:09,Belle séance 🔥
137,62296,28/02/2026 11:56,Runing,17883,7232,28/02/2026 13:56,Nouveau record !
138,62296,01/03/2026 13:10,Runing,12182,3582,01/03/2026 14:09,Super sortie 💪
139,90284,19/04/2025 11:55,Randonnée,9869,7248,19/04/2025 13:55,Sentier magnifique 🌿
140,90284,23/05/2025 20:59,Randonnée,15544,10048,23/05/2025 23:46,Superbe panorama 🌄
141,90284,15/06/2025 12:24,Randonnée,12653,7376,15/06/2025 14:27,Sentier magnifique 🌿
142,90284,17/06/2025 20:24,Randonnée,9984,6488,17/06/2025 22:12,
143,90284,26/06/2025 08:55,Randonnée,19427,19468,26/06/2025 14:19,Superbe panorama 🌄
144,90284,01/07/2025 18:55,Randonnée,10058,10024,01/07/2025 21:42,Sentier magnifique 🌿
145,90284,05/07/2025 10:39,Randonnée,18024,12693,05/07/2025 14:10,
146,90284,24/07/2025 20:40,Randonnée,20989,11214,24/07/2025 23:47,Superbe panorama 🌄
147,90284,20/08/2025 06:47,Randonnée,7961,5434,20/08/2025 08:17,
148,90284,01/09/2025 17:10,Randonnée,14812,7817,01/09/2025 19:20,Superbe panorama 🌄
149,90284,04/09/2025 19:27,Randonnée,9770,8029,04/09/2025 21:40,
150,90284,06/09/2025 14:11,Randonnée,10570,9474,06/09/2025 16:49,Sentier magnifique 🌿
151,90284,09/09/2025 18:58,Randonnée,24108,21463,10/09/2025 00:55,Sentier magnifique 🌿
152,90284,14/09/2025 11:16,Randonnée,5307,3065,14/09/2025 12:07,Sentier magnifique 🌿
153,90284,17/09/2025 08:28,Randonnée,16323,8752,17/09/2025 10:53,Sentier magnifique 🌿
154,90284,09/10/2025 19:54,Randonnée,14899,12554,09/10/2025 23:23,Sentier magnifique 🌿
155,90284,31/10/2025 18:36,Randonnée,16762,12613,31/10/2025 22:06,Sentier magnifique 🌿
156,90284,16/11/2025 08:53,Randonnée,17969,14927,16/11/2025 13:01,
157,90284,07/12/2025 14:47,Randonnée,6607,4009,07/12/2025 15:53,Sentier magnifique 🌿
158,90284,10/12/2025 06:40,Randonnée,11230,7769,10/12/2025 08:49,
159,90284,15/12/2025 08:57,Randonnée,6291,4984,15/12/2025 10:20,
160,90284,21/12/2025 10:46,Randonnée,9306,8324,21/12/2025 13:04,
161,90284,29/12/2025 07:08,Randonnée,22675,12971,29/12/2025 10:44,
162,90284,02/01/2026 18:58,Randonnée,20789,11239,02/01/2026 22:05,Sentier magnifique 🌿
163,90284,03/01/2026 14:07,Randonnée,20346,10667,03/01/2026 17:04,Superbe panorama 🌄
164,90284,25/01/2026 14:43,Randonnée,18022,10778,25/01/2026 17:42,Sentier magnifique 🌿
165,90284,08/02/2026 08:50,Randonnée,17929,17861,08/02/2026 13:47,Sentier magnifique 🌿
166,90284,12/02/2026 19:52,Randonnée,17172,14961,13/02/2026 00:01,Superbe panorama 🌄
167,90284,18/02/2026 08:41,Randonnée,7071,4654,18/02/2026 09:58,
168,90284,15/03/2026 10:41,Randonnée,18379,15281,15/03/2026 14:55,Superbe panorama 🌄
169,90284,21/03/2026 10:31,Randonnée,8805,8802,21/03/2026 12:57,Superbe panorama 🌄
170,90284,14/04/2026 20:42,Randonnée,22701,17824,15/04/2026 01:39,Superbe panorama 🌄
171,83440,28/04/2025 17:54,Triathlon,9741,2191,28/04/2025 18:30,Enchaînement nat+vélo+course 🏅
172,83440,04/05/2025 08:42,Triathlon,5844,1775,04/05/2025 09:11,Enchaînement nat+vélo+course 🏅
173,83440,13/05/2025 08:11,Triathlon,13695,4663,13/05/2025 09:28,Enchaînement nat+vélo+course 🏅
174,83440,19/05/2025 17:28,Triathlon,16863,4123,19/05/2025 18:36,Enchaînement nat+vélo+course 🏅
175,83440,23/05/2025 17:29,Triathlon,26080,5350,23/05/2025 18:58,
176,83440,03/06/2025 07:31,Triathlon,28343,5939,03/06/2025 09:10,Enchaînement nat+vélo+course 🏅
177,83440,07/06/2025 10:38,Triathlon,9860,3038,07/06/2025 11:28,
178,83440,19/06/2025 19:32,Triathlon,24838,7213,19/06/2025 21:32,Enchaînement nat+vélo+course 🏅
179,83440,21/06/2025 14:41,Triathlon,26329,6162,21/06/2025 16:23,Enchaînement nat+vélo+course 🏅
180,83440,24/07/2025 07:26,Triathlon,16106,3720,24/07/2025 08:28,Enchaînement nat+vélo+course 🏅
181,83440,01/08/2025 20:42,Triathlon,13352,3488,01/08/2025 21:40,
182,83440,02/08/2025 08:05,Triathlon,7797,2282,02/08/2025 08:43,
183,83440,04/08/2025 17:42,Triathlon,9005,2676,04/08/2025 18:26,
184,83440,06/08/2025 17:38,Triathlon,15238,4387,06/08/2025 18:51,Enchaînement nat+vélo+course 🏅
185,83440,07/08/2025 06:54,Triathlon,8546,2451,07/08/2025 07:34,Enchaînement nat+vélo+course 🏅
186,83440,15/08/2025 18:54,Triathlon,23381,5573,15/08/2025 20:27,Enchaînement nat+vélo+course 🏅
187,83440,16/08/2025 12:59,Triathlon,26555,5965,16/08/2025 14:38,Enchaînement nat+vélo+course 🏅
188,83440,20/08/2025 19:22,Triathlon,5200,1475,20/08/2025 19:46,
189,83440,06/09/2025 08:09,Triathlon,29280,6717,06/09/2025 10:01,Enchaînement nat+vélo+course 🏅
190,83440,08/09/2025 20:21,Triathlon,10157,2983,08/09/2025 21:10,Enchaînement nat+vélo+course 🏅
191,83440,03/10/2025 06:48,Triathlon,25245,7523,03/10/2025 08:53,
192,83440,05/10/2025 13:27,Triathlon,20914,5256,05/10/2025 14:54,Enchaînement nat+vélo+course 🏅
193,83440,18/10/2025 14:32,Triathlon,8729,2288,18/10/2025 15:10,
194,83440,20/10/2025 08:14,Triathlon,17951,3652,20/10/2025 09:14,Enchaînement nat+vélo+course 🏅
195,83440,23/10/2025 07:48,Triathlon,13372,3597,23/10/2025 08:48,
196,83440,24/10/2025 08:08,Triathlon,17458,4347,24/10/2025 09:20,
197,83440,07/11/2025 06:27,Triathlon,5614,1393,07/11/2025 06:50,
198,83440,12/11/2025 20:45,Triathlon,25976,6611,12/11/2025 22:35,Enchaînement nat+vélo+course 🏅
199,83440,01/12/2025 18:53,Triathlon,27597,5782,01/12/2025 20:29,Enchaînement nat+vélo+course 🏅
200,83440,06/12/2025 09:27,Triathlon,24296,6178,06/12/2025 11:10,
201,83440,24/12/2025 08:21,Triathlon,10509,3464,24/12/2025 09:18,Enchaînement nat+vélo+course 🏅
202,83440,21/01/2026 07:15,Triathlon,8368,2441,21/01/2026 07:55,Enchaînement nat+vélo+course 🏅
203,83440,26/01/2026 08:49,Triathlon,25576,7184,26/01/2026 10:48,
204,83440,01/02/2026 13:59,Triathlon,23497,6503,01/02/2026 15:47,
205,83440,12/02/2026 08:28,Triathlon,7237,2005,12/02/2026 09:01,
206,83440,17/02/2026 17:32,Triathlon,7431,2123,17/02/2026 18:07,Enchaînement nat+vélo+course 🏅
207,83440,27/02/2026 07:41,Triathlon,7958,2031,27/02/2026 08:14,
208,83440,11/03/2026 17:58,Triathlon,23732,5753,11/03/2026 19:34,
209,83440,12/03/2026 08:28,Triathlon,8391,2124,12/03/2026 09:03,Enchaînement nat+vélo+course 🏅
210,83440,14/03/2026 12:41,Triathlon,10654,3627,14/03/2026 13:41,
211,83440,19/03/2026 18:23,Triathlon,14269,4203,19/03/2026 19:33,Enchaînement nat+vélo+course 🏅
212,83440,23/03/2026 08:21,Triathlon,8096,2062,23/03/2026 08:55,
213,83440,04/04/2026 13:54,Triathlon,26514,6085,04/04/2026 15:35,Enchaînement nat+vélo+course 🏅
214,83440,06/04/2026 07:58,Triathlon,16462,4898,06/04/2026 09:19,
215,18246,31/05/2025 13:44,Runing,19248,7485,31/05/2025 15:48,Belle séance 🔥
216,18246,22/06/2025 08:23,Runing,12120,4071,22/06/2025 09:30,
217,18246,23/09/2025 06:09,Runing,4528,1594,23/09/2025 06:35,Super sortie 💪
218,18246,03/10/2025 08:38,Runing,14344,4861,03/10/2025 09:59,Nouveau record !
219,18246,27/10/2025 08:26,Runing,13937,3618,27/10/2025 09:26,
220,18246,29/01/2026 19:14,Runing,19498,7332,29/01/2026 21:16,
221,18246,16/02/2026 19:29,Runing,11233,2940,16/02/2026 20:18,
222,18246,13/03/2026 06:55,Runing,10192,3921,13/03/2026 08:00,Belle séance 🔥
223,18246,15/04/2026 08:18,Runing,4748,1193,15/04/2026 08:38,Nouveau record !
224,33386,20/04/2025 08:15,Randonnée,18756,12716,20/04/2025 11:47,Superbe panorama 🌄
225,33386,27/04/2025 08:53,Randonnée,21378,13070,27/04/2025 12:30,
226,33386,01/05/2025 08:18,Randonnée,19065,18480,01/05/2025 13:26,
227,33386,02/05/2025 07:33,Randonnée,16816,16035,02/05/2025 12:00,
228,33386,07/05/2025 17:55,Randonnée,20405,19272,07/05/2025 23:16,Sentier magnifique 🌿
229,33386,15/05/2025 17:50,Randonnée,7213,5916,15/05/2025 19:28,
230,33386,28/05/2025 06:02,Randonnée,16544,12236,28/05/2025 09:26,Superbe panorama 🌄
231,33386,29/05/2025 20:40,Randonnée,10972,6071,29/05/2025 22:21,Sentier magnifique 🌿
232,33386,03/06/2025 06:02,Randonnée,11536,6502,03/06/2025 07:50,Sentier magnifique 🌿
233,33386,07/06/2025 12:25,Randonnée,22794,15000,07/06/2025 16:35,
234,33386,13/06/2025 19:55,Randonnée,6566,3748,13/06/2025 20:57,Superbe panorama 🌄
235,33386,19/06/2025 20:47,Randonnée,19409,11056,19/06/2025 23:51,Superbe panorama 🌄
236,33386,27/06/2025 20:59,Randonnée,22015,16628,28/06/2025 01:36,Sentier magnifique 🌿
237,33386,28/06/2025 08:27,Randonnée,24741,12894,28/06/2025 12:02,Sentier magnifique 🌿
238,33386,01/07/2025 07:20,Randonnée,14687,12037,01/07/2025 10:40,Sentier magnifique 🌿
239,33386,03/07/2025 20:28,Randonnée,6387,4371,03/07/2025 21:40,
240,33386,06/08/2025 07:04,Randonnée,18310,15040,06/08/2025 11:14,
241,33386,09/08/2025 09:01,Randonnée,9678,5969,09/08/2025 10:40,Sentier magnifique 🌿
242,33386,10/08/2025 08:08,Randonnée,7203,6234,10/08/2025 09:52,Sentier magnifique 🌿
243,33386,16/08/2025 11:36,Randonnée,6061,4230,16/08/2025 12:46,Sentier magnifique 🌿
244,33386,17/08/2025 10:28,Randonnée,7519,5183,17/08/2025 11:54,Sentier magnifique 🌿
245,33386,27/08/2025 07:07,Randonnée,5849,3681,27/08/2025 08:08,Sentier magnifique 🌿
246,33386,11/09/2025 17:49,Randonnée,13529,8160,11/09/2025 20:05,
247,33386,12/09/2025 07:07,Randonnée,9447,5561,12/09/2025 08:39,
248,33386,19/09/2025 17:42,Randonnée,16384,10555,19/09/2025 20:38,Sentier magnifique 🌿
249,33386,28/09/2025 10:54,Randonnée,10161,7027,28/09/2025 12:51,
250,33386,06/10/2025 06:07,Randonnée,11585,6718,06/10/2025 07:59,Sentier magnifique 🌿
251,33386,13/10/2025 19:29,Randonnée,23076,22512,14/10/2025 01:44,Superbe panorama 🌄
252,33386,26/10/2025 10:25,Randonnée,20684,15344,26/10/2025 14:40,
253,33386,01/11/2025 08:08,Randonnée,15388,10062,01/11/2025 10:55,
254,33386,06/11/2025 08:56,Randonnée,23065,14285,06/11/2025 12:54,Superbe panorama 🌄
255,33386,16/11/2025 11:32,Randonnée,6815,4107,16/11/2025 12:40,Sentier magnifique 🌿
256,33386,20/11/2025 18:59,Randonnée,12388,10557,20/11/2025 21:55,Sentier magnifique 🌿
257,33386,03/12/2025 06:40,Randonnée,23049,19371,03/12/2025 12:02,
258,33386,04/12/2025 08:37,Randonnée,24026,22066,04/12/2025 14:44,
259,33386,14/12/2025 12:21,Randonnée,23468,24372,14/12/2025 19:07,Superbe panorama 🌄
260,33386,15/12/2025 06:49,Randonnée,23747,18306,15/12/2025 11:54,Sentier magnifique 🌿
261,33386,31/12/2025 19:30,Randonnée,13024,8216,31/12/2025 21:47,Sentier magnifique 🌿
262,33386,13/01/2026 07:10,Randonnée,19404,14458,13/01/2026 11:11,Sentier magnifique 🌿
263,33386,23/01/2026 18:55,Randonnée,15463,10444,23/01/2026 21:49,Sentier magnifique 🌿
264,33386,23/02/2026 06:20,Randonnée,12921,8971,23/02/2026 08:49,Superbe panorama 🌄
265,33386,27/02/2026 06:18,Randonnée,17587,10228,27/02/2026 09:08,Superbe panorama 🌄
266,33386,16/03/2026 07:48,Randonnée,10221,7329,16/03/2026 09:50,Sentier magnifique 🌿
267,33386,09/04/2026 07:05,Randonnée,17885,13924,09/04/2026 10:57,Superbe panorama 🌄
268,33386,14/04/2026 08:03,Randonnée,14219,10965,14/04/2026 11:05,
269,19773,22/04/2025 18:46,Runing,13985,3582,22/04/2025 19:45,
270,19773,12/06/2025 18:35,Runing,11456,4367,12/06/2025 19:47,Belle séance 🔥
271,19773,11/09/2025 08:06,Runing,14907,5218,11/09/2025 09:33,Belle séance 🔥
272,19773,14/12/2025 14:09,Runing,8522,2370,14/12/2025 14:48,Super sortie 💪
273,19773,17/01/2026 08:02,Runing,6490,1854,17/01/2026 08:33,
274,70643,28/06/2025 13:53,Runing,11805,3368,28/06/2025 14:49,
275,70643,10/07/2025 19:52,Runing,2545,842,10/07/2025 20:06,
276,70643,28/09/2025 12:19,Runing,2873,779,28/09/2025 12:32,Nouveau record !
277,70643,02/10/2025 17:10,Runing,19178,5501,02/10/2025 18:41,
278,70643,05/11/2025 06:36,Runing,5601,1959,05/11/2025 07:08,
279,70643,06/01/2026 06:26,Runing,18443,5237,06/01/2026 07:53,Super sortie 💪
280,70643,22/02/2026 13:08,Runing,18996,6426,22/02/2026 14:55,
281,70643,25/02/2026 20:11,Runing,17062,4079,25/02/2026 21:19,Belle séance 🔥
282,70643,27/02/2026 19:12,Runing,10077,3251,27/02/2026 20:06,Belle séance 🔥
283,25701,09/05/2025 06:42,Runing,19401,6368,09/05/2025 08:28,Super sortie 💪
284,25701,28/05/2025 19:06,Runing,6504,2618,28/05/2025 19:49,Nouveau record !
285,25701,12/06/2025 20:41,Runing,8535,2158,12/06/2025 21:17,Belle séance 🔥
286,25701,19/06/2025 08:41,Runing,20813,7533,19/06/2025 10:46,Super sortie 💪
287,25701,27/06/2025 06:59,Runing,3190,744,27/06/2025 07:11,
288,25701,01/07/2025 06:00,Runing,11777,3131,01/07/2025 06:52,Belle séance 🔥
289,25701,30/07/2025 20:56,Runing,6397,1610,30/07/2025 21:22,Nouveau record !
290,25701,02/08/2025 14:07,Runing,12835,4585,02/08/2025 15:23,Belle séance 🔥
291,25701,05/08/2025 08:47,Runing,13046,3439,05/08/2025 09:44,Nouveau record !
292,25701,27/08/2025 20:32,Runing,12745,4977,27/08/2025 21:55,Nouveau record !
293,25701,03/09/2025 20:59,Runing,10128,3938,03/09/2025 22:04,
294,25701,04/09/2025 19:37,Runing,20772,8498,04/09/2025 21:58,Nouveau record !
295,25701,05/09/2025 17:19,Runing,7233,2269,05/09/2025 17:56,Belle séance 🔥
296,25701,12/09/2025 17:23,Runing,9236,2979,12/09/2025 18:12,Nouveau record !
297,25701,13/09/2025 11:47,Runing,21848,7250,13/09/2025 13:47,
298,25701,27/09/2025 14:34,Runing,9156,2499,27/09/2025 15:15,Super sortie 💪
299,25701,11/10/2025 12:28,Runing,19307,4782,11/10/2025 13:47,Super sortie 💪
300,25701,12/10/2025 08:53,Runing,19945,4648,12/10/2025 10:10,Nouveau record !
301,25701,13/10/2025 19:07,Runing,8730,2342,13/10/2025 19:46,
302,25701,29/10/2025 06:32,Runing,15612,4343,29/10/2025 07:44,
